deltax is 0.0314159
When a6 = -1.07
alpha        Kr        Ki        
3.5    1.444    -0.8974
3.506    1.439    -0.9111
3.512    1.434    -0.9248
3.519    1.429    -0.9384
3.525    1.424    -0.9519
3.531    1.419    -0.9652
3.537    1.413    -0.9785
3.544    1.408    -0.9917
3.55    1.403    -1.005
3.556    1.397    -1.018
3.563    1.392    -1.031
3.569    1.386    -1.043
3.575    1.38    -1.056
3.581    1.374    -1.068
3.588    1.369    -1.081
3.594    1.363    -1.093
3.6    1.357    -1.105
3.607    1.351    -1.117
3.613    1.345    -1.129
3.619    1.339    -1.141
3.625    1.333    -1.153
3.632    1.326    -1.165
3.638    1.32    -1.176
3.644    1.314    -1.187
3.651    1.307    -1.199
3.657    1.301    -1.21
3.663    1.294    -1.221
3.669    1.288    -1.232
3.676    1.281    -1.242
3.682    1.275    -1.253
3.688    1.268    -1.264
3.695    1.261    -1.274
3.701    1.254    -1.284
3.707    1.248    -1.294
3.713    1.241    -1.304
3.72    1.234    -1.314
3.726    1.227    -1.324
3.732    1.22    -1.334
3.738    1.213    -1.343
3.745    1.206    -1.353
3.751    1.199    -1.362
3.757    1.192    -1.371
3.764    1.185    -1.38
3.77    1.177    -1.389
3.776    1.17    -1.397
3.782    1.163    -1.406
3.789    1.156    -1.414
3.795    1.148    -1.423
3.801    1.141    -1.431
3.808    1.134    -1.439
3.814    1.126    -1.447
3.82    1.119    -1.455
3.826    1.111    -1.462
3.833    1.104    -1.47
3.839    1.096    -1.477
3.845    1.089    -1.485
3.852    1.081    -1.492
3.858    1.074    -1.499
3.864    1.066    -1.506
3.87    1.058    -1.512
3.877    1.051    -1.519
3.883    1.043    -1.525
3.889    1.036    -1.532
3.896    1.028    -1.538
3.902    1.02    -1.544
3.908    1.013    -1.55
3.914    1.005    -1.556
3.921    0.9971    -1.561
3.927    0.9894    -1.567
3.933    0.9816    -1.572
3.94    0.9739    -1.578
3.946    0.9662    -1.583
3.952    0.9584    -1.588
3.958    0.9507    -1.593
3.965    0.9429    -1.597
3.971    0.9351    -1.602
3.977    0.9274    -1.606
3.984    0.9196    -1.611
3.99    0.9119    -1.615
3.996    0.9041    -1.619
